-20 ,-7.551 
-19 ,-7.188 
-18 ,-6.823 
-17 ,-6.455 
-16 ,-6.085 
-15 ,-5.713 
-14 ,-5.339 
-13 ,-4.964 
-12 ,-4.587 
-11 ,-4.208 
-10 ,-3.829 
-9 ,-3.448 
-8 ,-3.067 
-7 ,-2.685 
-6 ,-2.302 
-5 ,-1.919 
-4 ,-1.535 
-3 ,-1.151 
-2 ,-0.767 
-1 ,-0.383 
0 ,0.000 
1 ,0.384 
2 ,0.767 
3 ,1.150 
4 ,1.532 
5 ,1.914 
6 ,2.295 
7 ,2.675 
8 ,3.054 
9 ,3.432 
10 ,3.808 
11 ,4.184 
12 ,4.558 
13 ,4.931 
14 ,5.303 
15 ,5.673 
16 ,6.061 
17 ,6.408 
18 ,6.773 
19 ,7.136 
20 ,7.498 
